date,sector,uniqcode,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,prmom1d_f,prmom1w_f,prmom2w_f,prmom3w_f,mom13,mom14
2017/2/28,25,RK3780,0.159079422,0.895148261,0.854171111,-10.1460164,-11.421334,-13.379223,-17.96940877,-10.60157431,6.715799562,3.990358987,6.392977247,-0.322822315,0.563147406,0.116524706,5.452455401,4.554924128,1.120457355,0.262069225
2017/2/28,45,RLF8JJ,0.422938155,1.778613276,2.563634104,1.84387093,10.06290383,1.431396064,-2.289242943,5.611319129,-7.775030467,-16.79740675,-17.44412017,-9.669089702,0.134230792,-2.34394064,-0.245394724,-0.677986785,-0.185127198,-0.77512598
2017/2/28,40,RLGWR5,8.920919291,9.530492138,9.971561582,8.713497677,10.22419209,12.5279831,14.56584171,14.33801358,-0.728408678,4.741778619,4.544649035,5.273057713,-0.193643812,-3.283115846,-6.618990811,-5.302897231,-0.747376963,-2.352096558
2017/2/28,25,RMCVZ9,-1.802559946,-0.965368083,-0.243784803,1.329493394,1.610572383,-0.817487313,7.594093745,5.201168457,2.673960152,0.705290995,17.65944763,14.98548748,-0.171642594,0.541767175,0.487635972,0.333552309,-2.5,1.608599663
2017/2/28,40,RMCZ5D,-1.55913616,-0.908907503,-0.634788665,-0.172076223,-0.628372969,4.699093105,5.943522403,11.03392767,12.60944646,-2.917569028,-23.12658443,-35.73603088,-0.593353812,0.978741118,0.517718766,-0.036949089,-0.441129059,1.301610947
2017/2/28,35,RMF5GJ,-0.528513014,0.284696423,-0.919549092,1.535925371,-7.898850852,-9.834672988,-16.0179935,-17.52686353,-9.456538527,-15.14654326,-21.01615556,-11.55961703,-1.856701529,-1.926010344,-3.469930986,-2.127673742,1.290578683,-0.60063076
2017/2/28,25,RMMHNL,-0.254324662,-0.887231156,-1.769750693,-1.146344464,1.941357877,5.180137217,0.132896043,-6.24766559,-6.325367255,-18.68573903,-13.01735284,-6.691985583,-0.671142594,-1.848143935,-0.658881712,-3.561228933,-0.016330243,0.718317509
2017/2/28,25,RNN717,1.115326182,1.300326544,7.272757373,6.348804115,17.08757385,5.919261617,13.31018929,-0.006501338,-4.016272174,8.819149818,4.586163621,8.602435796,0.744217406,0.924879495,-1.432017228,-1.769366089,-0.01563332,-0.705436707
2017/2/28,45,RNR9Y4,0.613989518,-0.13875847,-0.75804608,-0.556041009,-3.424089816,-0.972926121,-2.357066324,12.04225031,2.717168656,3.548124145,-9.711162779,-12.42833143,1.304790792,3.473191772,9.656963784,6.834503938,0.233548372,0.372167587
2017/2/28,55,RPTTVL,0.570308451,0.726761489,1.522263108,2.623720575,2.589373309,2.387069475,1.535362725,1.876585514,-6.660306122,-5.189487497,-8.27245973,-1.612153608,-0.674917833,-0.420352492,-0.271241522,0.04479092,-0.932828586,-1.739725113
